Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_10,MA_20,Upper_BBand,Lower_BBand,Action,Long,Short,Buy,Sell,Price,Quantity,Win/Lose,Gain/Loss,Rate of Return,Account
2018-11-19,37.25,35.04999923706055,35.04999923706055,37.25,3769122.0,36.70321273803711,,,,,,,,,,,,,,,,
2018-11-20,37.0,36.04999923706055,36.70000076293945,36.25,7909460.0,35.717891693115234,,,,,,,,,,,,,,,,
2018-11-21,37.099998474121094,35.349998474121094,35.75,36.95000076293945,5444412.0,36.407615661621094,,,,,,,,,,,,,,,,
2018-11-22,37.79999923706055,36.099998474121094,37.54999923706055,36.099998474121094,9117023.0,35.570091247558594,,,,,,,,,,,,,,,,
2018-11-23,36.45000076293945,35.29999923706055,36.04999923706055,36.0,2570577.0,35.471561431884766,36.50999984741211,,,,,,,,,,,,,,,
2018-11-26,37.900001525878906,36.400001525878906,36.599998474121094,37.0,4241329.0,36.45688247680664,36.45999984741211,,,,,,,,,,,,,,,
2018-11-27,39.099998474121094,37.5,37.599998474121094,39.099998474121094,10465749.0,38.52605438232422,37.029999542236325,,,,,,,,,,,,,,,
2018-11-28,40.349998474121094,38.900001525878906,39.29999923706055,40.150001525878906,6806423.0,39.56064224243164,37.66999969482422,,,,,,,,,,,,,,,
2018-11-29,42.349998474121094,40.599998474121094,40.900001525878906,41.0,5892972.0,40.39816665649414,38.65,,,,,,,,,,,,,,,
2018-11-30,42.25,40.29999923706055,41.25,40.900001525878906,4583968.0,40.29963302612305,39.630000305175784,38.070000076293944,,,,,,,,,,,,,,
2018-12-03,42.79999923706055,41.45000076293945,42.099998474121094,42.0,5701793.0,41.383487701416016,40.630000305175784,38.545000076293945,,,,,,,,,,,,,,
2018-12-04,42.75,41.650001525878906,42.5,41.79999923706055,3864482.0,41.18642044067383,41.17000045776367,39.1,,,,,,,,,,,,,,
2018-12-05,41.45000076293945,40.20000076293945,40.349998474121094,40.849998474121094,2827709.0,40.2503662109375,41.30999984741211,39.489999771118164,,,,,,,,,,,,,,
