Id,Name,Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_20,MA_5(yest),MA_20(yest)
1312,國喬,2019-08-13,18.25,17.600000381469727,18.25,17.700000762939453,6815000.0,17.700000762939453,18.25,19.89749994277954,18.439999771118163,20.052499866485597
1560,中砂,2019-08-13,57.400001525878906,56.599998474121094,57.400001525878906,56.900001525878906,105000.0,56.900001525878906,57.34000091552734,58.39000015258789,57.460000610351564,58.49000015258789
1710,東聯,2019-08-13,22.0,21.350000381469727,22.0,21.5,2922000.0,21.5,22.099999618530273,23.207500076293947,22.31999969482422,23.330000114440917
2031,新光鋼,2019-08-13,28.5,28.100000381469727,28.5,28.350000381469727,1255000.0,28.350000381469727,28.750000381469725,30.175,28.79000015258789,30.280000019073487
2313,華通,2019-08-13,26.700000762939453,26.100000381469727,26.549999237060547,26.649999618530273,10310000.0,26.649999618530273,26.670000076293945,27.07750005722046,26.59000015258789,27.17500009536743
2317,鴻海,2019-08-13,73.80000305175781,72.9000015258789,73.80000305175781,72.9000015258789,17872000.0,72.9000015258789,73.13999938964844,76.8700008392334,73.21999969482422,77.22500076293946
2344,華邦電,2019-08-13,17.399999618530273,16.799999237060547,17.299999237060547,16.899999618530273,41957000.0,16.899999618530273,17.329999923706055,18.04749994277954,17.59000015258789,18.05
2352,佳世達,2019-08-13,19.299999237060547,19.100000381469727,19.200000762939453,19.299999237060547,4524000.0,19.299999237060547,18.970000076293946,19.462500190734865,18.88000030517578,19.53000020980835
2355,敬鵬,2019-08-13,30.899999618530273,30.600000381469727,30.899999618530273,30.649999618530273,492000.0,30.649999618530273,31.179999923706056,32.92499990463257,31.29000015258789,33.10249996185303
2376,技嘉,2019-08-13,50.400001525878906,49.04999923706055,49.5,49.400001525878906,11052000.0,49.400001525878906,47.73000030517578,47.6375,47.15,47.60749988555908
2377,微星,2019-08-13,89.80000305175781,87.69999694824219,87.9000015258789,87.69999694824219,4539000.0,87.69999694824219,86.83999938964844,86.99500007629395,86.66000061035156,86.98500022888183
2449,京元電子,2019-08-13,32.29999923706055,31.25,31.899999618530273,31.549999237060547,8765000.0,31.549999237060547,31.770000457763672,31.90000009536743,31.88000030517578,31.892500114440917
2456,奇力新,2019-08-13,77.0,75.19999694824219,77.0,75.30000305175781,2513000.0,75.30000305175781,76.08000183105469,81.88500061035157,76.72000122070312,82.52000045776367
3017,奇鋐,2019-08-13,44.099998474121094,42.0,42.599998474121094,43.70000076293945,40619000.0,43.70000076293945,41.98000030517578,41.90750007629394,41.05,41.775
3035,智原,2019-08-13,55.0,53.20000076293945,54.79999923706055,53.5,3560000.0,53.5,54.84000015258789,57.650000190734865,55.14000015258789,57.74500026702881
3037,欣興,2019-08-13,38.0,37.099998474121094,38.0,37.099998474121094,25794000.0,37.099998474121094,37.55999984741211,38.535000228881835,37.29000015258789,38.52250022888184
3380,明泰,2019-08-13,23.950000762939453,23.149999618530273,23.200000762939453,23.25,11282000.0,23.25,23.730000305175782,22.29250011444092,23.620000457763673,22.16750011444092
3535,晶彩科,2019-08-13,28.049999237060547,26.700000762939453,27.200000762939453,27.600000381469727,3928000.0,27.600000381469727,26.719999694824217,26.194999980926514,26.349999618530273,26.13999996185303
3702,大聯大,2019-08-13,40.849998474121094,40.349998474121094,40.650001525878906,40.349998474121094,2971000.0,40.349998474121094,40.76999969482422,41.02999992370606,40.74000015258789,41.0875
4906,正文,2019-08-13,28.75,27.700000762939453,28.299999237060547,27.75,7855000.0,27.75,28.29000015258789,27.392500114440917,28.4,27.312500095367433
4919,新唐,2019-08-13,46.599998474121094,45.75,46.04999923706055,45.79999923706055,845000.0,45.79999923706055,47.13999938964844,49.36499996185303,47.539999389648436,49.57250003814697
6285,啟碁,2019-08-13,77.4000015258789,76.4000015258789,77.0999984741211,77.19999694824219,2609000.0,77.19999694824219,74.91999816894531,76.5849998474121,74.43999938964843,76.5400001525879
8046,南電,2019-08-13,40.400001525878906,39.650001525878906,40.0,40.20000076293945,3880000.0,40.20000076293945,39.70999984741211,41.142499923706055,39.619999694824216,41.11499996185303
8163,達方,2019-08-13,40.54999923706055,39.599998474121094,39.95000076293945,40.349998474121094,1161000.0,40.349998474121094,39.30999908447266,40.75249977111817,39.12999954223633,40.84749984741211
8215,明基材,2019-08-13,21.850000381469727,21.450000762939453,21.850000381469727,21.600000381469727,972000.0,21.600000381469727,21.66999969482422,23.462499809265136,21.699999618530274,23.674999809265138
